date,node_id,num_households,day_of_week,is_weekend,is_holiday,waste_organic_kg,waste_recyclable_kg,waste_other_kg
2026-03-19,P01,45,3,0,0,29.6,10.7,13.4
2026-03-20,P01,45,4,0,0,31.1,10.7,11.9
2026-03-21,P01,45,5,1,0,37.9,10.6,13.3
2026-03-22,P01,45,6,1,0,37.5,11.0,14.8
2026-03-23,P01,45,0,0,0,31.0,10.9,12.7
2026-03-24,P01,45,1,0,0,28.0,11.1,15.0
2026-03-25,P01,45,2,0,0,29.9,10.7,14.1
2026-03-26,P01,45,3,0,0,27.2,10.6,14.1
2026-03-27,P01,45,4,0,0,31.4,10.6,14.0
2026-03-28,P01,45,5,1,0,37.7,11.5,12.3
2026-03-29,P01,45,6,1,0,38.3,9.5,10.7
2026-03-30,P01,45,0,0,0,28.7,10.0,14.5
2026-03-31,P01,45,1,0,0,31.0,9.8,14.5
2026-04-01,P01,45,2,0,0,28.0,10.8,13.2
2026-04-02,P01,45,3,0,0,30.0,11.5,14.2
2026-04-03,P01,45,4,0,0,30.4,11.4,14.1
2026-04-04,P01,45,5,1,0,36.1,10.2,13.0
2026-04-05,P01,45,6,1,0,38.2,10.6,16.1
2026-04-06,P01,45,0,0,0,28.3,9.9,14.4
2026-04-07,P01,45,1,0,0,32.4,11.3,14.5
2026-04-08,P01,45,2,0,0,32.4,10.8,12.0
2026-04-09,P01,45,3,0,0,28.9,11.7,12.0
2026-04-10,P01,45,4,0,0,29.9,11.1,13.2
2026-04-11,P01,45,5,1,0,38.6,11.3,16.1
2026-04-12,P01,45,6,1,0,38.4,10.3,12.9
2026-04-13,P01,45,0,0,0,28.3,11.7,12.9
2026-04-14,P01,45,1,0,0,29.7,11.5,12.8
2026-04-15,P01,45,2,0,0,29.3,9.2,12.4
2026-04-16,P01,45,3,0,0,28.8,11.2,14.8
2026-04-17,P01,45,4,0,0,29.8,11.1,13.7
2026-04-18,P01,45,5,1,0,39.2,11.6,13.8
2026-04-19,P01,45,6,1,0,35.5,11.6,14.0
2026-04-20,P01,45,0,0,0,32.0,10.8,15.7
2026-04-21,P01,45,1,0,0,29.2,12.2,13.7
2026-04-22,P01,45,2,0,0,28.9,9.9,13.4
2026-04-23,P01,45,3,0,0,32.4,11.5,14.3
2026-04-24,P01,45,4,0,0,25.6,11.5,14.2
2026-04-25,P01,45,5,1,0,36.3,10.3,13.5
2026-04-26,P01,45,6,1,0,40.3,9.9,13.1
2026-04-27,P01,45,0,0,0,32.2,10.5,13.2
2026-04-28,P01,45,1,0,0,30.0,9.8,13.8
2026-04-29,P01,45,2,0,0,27.6,11.6,13.6
2026-04-30,P01,45,3,0,0,33.9,11.1,15.0
2026-05-01,P01,45,4,0,0,27.5,10.7,13.9
2026-05-02,P01,45,5,1,0,40.4,9.4,14.6
